seqName,sampleDate,seqId,location,clade,pangoLineages,nextStrainClade,whoClade
hCoV-19/Beijing/2571/2022|EPI_ISL_16350853|2022-11-01,2022-11-01,EPI_ISL_16350853,Beijing,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Beijing/2573/2022|EPI_ISL_16350854|2022-11-01,2022-11-01,EPI_ISL_16350854,Beijing,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Beijing/2595/2022|EPI_ISL_16350855|2022-11-01,2022-11-01,EPI_ISL_16350855,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/2530/2022|EPI_ISL_16350856|2022-11-02,2022-11-02,EPI_ISL_16350856,Beijing,22E (Omicron),BQ.1,22E,Omicron
hCoV-19/Beijing/2534/2022|EPI_ISL_16350857|2022-11-02,2022-11-02,EPI_ISL_16350857,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2533/2022|EPI_ISL_16350858|2022-11-02,2022-11-02,EPI_ISL_16350858,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2551/2022|EPI_ISL_16350859|2022-11-02,2022-11-02,EPI_ISL_16350859,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2552/2022|EPI_ISL_16350860|2022-11-02,2022-11-02,EPI_ISL_16350860,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2562/2022|EPI_ISL_16350861|2022-11-02,2022-11-02,EPI_ISL_16350861,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2548/2022|EPI_ISL_16350862|2022-11-02,2022-11-02,EPI_ISL_16350862,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3100/2022|EPI_ISL_16350863|2022-12-01,2022-12-01,EPI_ISL_16350863,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3099/2022|EPI_ISL_16350864|2022-12-01,2022-12-01,EPI_ISL_16350864,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3101/2022|EPI_ISL_16350865|2022-12-01,2022-12-01,EPI_ISL_16350865,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3102/2022|EPI_ISL_16350866|2022-12-01,2022-12-01,EPI_ISL_16350866,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3124/2022|EPI_ISL_16350867|2022-12-08,2022-12-08,EPI_ISL_16350867,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3125/2022|EPI_ISL_16350868|2022-12-08,2022-12-08,EPI_ISL_16350868,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3127/2022|EPI_ISL_16350869|2022-12-08,2022-12-08,EPI_ISL_16350869,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3128/2022|EPI_ISL_16350870|2022-12-08,2022-12-08,EPI_ISL_16350870,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3129/2022|EPI_ISL_16350871|2022-12-08,2022-12-08,EPI_ISL_16350871,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3130/2022|EPI_ISL_16350872|2022-12-08,2022-12-08,EPI_ISL_16350872,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3132/2022|EPI_ISL_16350873|2022-12-08,2022-12-08,EPI_ISL_16350873,Beijing,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Beijing/3131/2022|EPI_ISL_16350874|2022-12-08,2022-12-08,EPI_ISL_16350874,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3133/2022|EPI_ISL_16350875|2022-12-08,2022-12-08,EPI_ISL_16350875,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3135/2022|EPI_ISL_16350876|2022-12-08,2022-12-08,EPI_ISL_16350876,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3136/2022|EPI_ISL_16350877|2022-12-08,2022-12-08,EPI_ISL_16350877,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3137/2022|EPI_ISL_16350878|2022-12-08,2022-12-08,EPI_ISL_16350878,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3138/2022|EPI_ISL_16350879|2022-12-08,2022-12-08,EPI_ISL_16350879,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3139/2022|EPI_ISL_16350880|2022-12-08,2022-12-08,EPI_ISL_16350880,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3140/2022|EPI_ISL_16350881|2022-12-08,2022-12-08,EPI_ISL_16350881,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3141/2022|EPI_ISL_16350882|2022-12-08,2022-12-08,EPI_ISL_16350882,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3142/2022|EPI_ISL_16350883|2022-12-08,2022-12-08,EPI_ISL_16350883,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3143/2022|EPI_ISL_16350884|2022-12-08,2022-12-08,EPI_ISL_16350884,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3134/2022|EPI_ISL_16350885|2022-12-08,2022-12-08,EPI_ISL_16350885,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3126/2022|EPI_ISL_16350886|2022-12-08,2022-12-08,EPI_ISL_16350886,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3158/2022|EPI_ISL_16350887|2022-12-08,2022-12-08,EPI_ISL_16350887,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3144/2022|EPI_ISL_16350888|2022-12-09,2022-12-09,EPI_ISL_16350888,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3145/2022|EPI_ISL_16350889|2022-12-09,2022-12-09,EPI_ISL_16350889,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3146/2022|EPI_ISL_16350890|2022-12-09,2022-12-09,EPI_ISL_16350890,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3147/2022|EPI_ISL_16350891|2022-12-09,2022-12-09,EPI_ISL_16350891,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3148/2022|EPI_ISL_16350892|2022-12-09,2022-12-09,EPI_ISL_16350892,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3149/2022|EPI_ISL_16350893|2022-12-09,2022-12-09,EPI_ISL_16350893,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3150/2022|EPI_ISL_16350894|2022-12-09,2022-12-09,EPI_ISL_16350894,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3152/2022|EPI_ISL_16350895|2022-12-09,2022-12-09,EPI_ISL_16350895,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3153/2022|EPI_ISL_16350896|2022-12-09,2022-12-09,EPI_ISL_16350896,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3154/2022|EPI_ISL_16350897|2022-12-09,2022-12-09,EPI_ISL_16350897,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3155/2022|EPI_ISL_16350898|2022-12-09,2022-12-09,EPI_ISL_16350898,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3157/2022|EPI_ISL_16350899|2022-12-09,2022-12-09,EPI_ISL_16350899,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3156/2022|EPI_ISL_16350900|2022-12-09,2022-12-09,EPI_ISL_16350900,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3159/2022|EPI_ISL_16350901|2022-12-09,2022-12-09,EPI_ISL_16350901,Beijing,22B (Omicron),BA.5.1,22B,Omicron
hCoV-19/Beijing/3173/2022|EPI_ISL_16350902|2022-12-09,2022-12-09,EPI_ISL_16350902,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3162/2022|EPI_ISL_16350903|2022-12-09,2022-12-09,EPI_ISL_16350903,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3161/2022|EPI_ISL_16350904|2022-12-09,2022-12-09,EPI_ISL_16350904,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3174/2022|EPI_ISL_16350905|2022-12-09,2022-12-09,EPI_ISL_16350905,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3178/2022|EPI_ISL_16350906|2022-12-09,2022-12-09,EPI_ISL_16350906,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3177/2022|EPI_ISL_16350907|2022-12-09,2022-12-09,EPI_ISL_16350907,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3166/2022|EPI_ISL_16350908|2022-12-11,2022-12-11,EPI_ISL_16350908,Beijing,22B (Omicron),BA.5.2.49,22B,Omicron
hCoV-19/Beijing/3163/2022|EPI_ISL_16350909|2022-12-11,2022-12-11,EPI_ISL_16350909,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3167/2022|EPI_ISL_16350910|2022-12-11,2022-12-11,EPI_ISL_16350910,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3171/2022|EPI_ISL_16350911|2022-12-11,2022-12-11,EPI_ISL_16350911,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3168/2022|EPI_ISL_16350912|2022-12-11,2022-12-11,EPI_ISL_16350912,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3165/2022|EPI_ISL_16350913|2022-12-11,2022-12-11,EPI_ISL_16350913,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3169/2022|EPI_ISL_16350914|2022-12-11,2022-12-11,EPI_ISL_16350914,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3181/2022|EPI_ISL_16350915|2022-12-11,2022-12-11,EPI_ISL_16350915,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3180/2022|EPI_ISL_16350916|2022-12-12,2022-12-12,EPI_ISL_16350916,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3179/2022|EPI_ISL_16350917|2022-12-12,2022-12-12,EPI_ISL_16350917,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3182/2022|EPI_ISL_16350918|2022-12-12,2022-12-12,EPI_ISL_16350918,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3172/2022|EPI_ISL_16350919|2022-12-13,2022-12-13,EPI_ISL_16350919,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3175/2022|EPI_ISL_16350920|2022-12-13,2022-12-13,EPI_ISL_16350920,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3176/2022|EPI_ISL_16350921|2022-12-13,2022-12-13,EPI_ISL_16350921,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3183/2022|EPI_ISL_16350922|2022-12-13,2022-12-13,EPI_ISL_16350922,Beijing,22B (Omicron),BA.5.1,22B,Omicron
hCoV-19/Beijing/3184/2022|EPI_ISL_16350923|2022-12-14,2022-12-14,EPI_ISL_16350923,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3188/2022|EPI_ISL_16350924|2022-12-15,2022-12-15,EPI_ISL_16350924,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3186/2022|EPI_ISL_16350925|2022-12-15,2022-12-15,EPI_ISL_16350925,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3187/2022|EPI_ISL_16350926|2022-12-15,2022-12-15,EPI_ISL_16350926,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3185/2022|EPI_ISL_16350927|2022-12-15,2022-12-15,EPI_ISL_16350927,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3209/2022|EPI_ISL_16350928|2022-12-20,2022-12-20,EPI_ISL_16350928,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3210/2022|EPI_ISL_16350929|2022-12-20,2022-12-20,EPI_ISL_16350929,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3211/2022|EPI_ISL_16350930|2022-12-20,2022-12-20,EPI_ISL_16350930,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3212/2022|EPI_ISL_16350931|2022-12-20,2022-12-20,EPI_ISL_16350931,Beijing,22B (Omicron),BA.5.1,22B,Omicron
hCoV-19/Beijing/3213/2022|EPI_ISL_16350932|2022-12-20,2022-12-20,EPI_ISL_16350932,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3214/2022|EPI_ISL_16350933|2022-12-20,2022-12-20,EPI_ISL_16350933,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3215/2022|EPI_ISL_16350934|2022-12-20,2022-12-20,EPI_ISL_16350934,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3216/2022|EPI_ISL_16350935|2022-12-20,2022-12-20,EPI_ISL_16350935,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3218/2022|EPI_ISL_16350936|2022-12-20,2022-12-20,EPI_ISL_16350936,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3217/2022|EPI_ISL_16350937|2022-12-20,2022-12-20,EPI_ISL_16350937,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3219/2022|EPI_ISL_16350938|2022-12-20,2022-12-20,EPI_ISL_16350938,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3220/2022|EPI_ISL_16350939|2022-12-20,2022-12-20,EPI_ISL_16350939,Beijing,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Beijing/3221/2022|EPI_ISL_16350940|2022-12-20,2022-12-20,EPI_ISL_16350940,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3222/2022|EPI_ISL_16350941|2022-12-20,2022-12-20,EPI_ISL_16350941,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3223/2022|EPI_ISL_16350942|2022-12-20,2022-12-20,EPI_ISL_16350942,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3224/2022|EPI_ISL_16350943|2022-12-20,2022-12-20,EPI_ISL_16350943,Beijing,22B (Omicron),BA.5.1,22B,Omicron
hCoV-19/Beijing/3225/2022|EPI_ISL_16350944|2022-12-20,2022-12-20,EPI_ISL_16350944,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3122/2022|EPI_ISL_16350945|2022-11-30,2022-11-30,EPI_ISL_16350945,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3086/2022|EPI_ISL_16350946|2022-12-01,2022-12-01,EPI_ISL_16350946,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3087/2022|EPI_ISL_16350947|2022-12-01,2022-12-01,EPI_ISL_16350947,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3088/2022|EPI_ISL_16350948|2022-12-01,2022-12-01,EPI_ISL_16350948,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3089/2022|EPI_ISL_16350949|2022-12-01,2022-12-01,EPI_ISL_16350949,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3091/2022|EPI_ISL_16350950|2022-12-01,2022-12-01,EPI_ISL_16350950,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3092/2022|EPI_ISL_16350951|2022-12-01,2022-12-01,EPI_ISL_16350951,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3090/2022|EPI_ISL_16350952|2022-12-01,2022-12-01,EPI_ISL_16350952,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3094/2022|EPI_ISL_16350953|2022-12-01,2022-12-01,EPI_ISL_16350953,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3093/2022|EPI_ISL_16350954|2022-12-01,2022-12-01,EPI_ISL_16350954,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3095/2022|EPI_ISL_16350955|2022-12-01,2022-12-01,EPI_ISL_16350955,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3096/2022|EPI_ISL_16350956|2022-12-01,2022-12-01,EPI_ISL_16350956,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3097/2022|EPI_ISL_16350957|2022-12-01,2022-12-01,EPI_ISL_16350957,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3098/2022|EPI_ISL_16350958|2022-12-01,2022-12-01,EPI_ISL_16350958,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3118/2022|EPI_ISL_16350959|2022-11-30,2022-11-30,EPI_ISL_16350959,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3119/2022|EPI_ISL_16350960|2022-11-30,2022-11-30,EPI_ISL_16350960,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3120/2022|EPI_ISL_16350961|2022-11-30,2022-11-30,EPI_ISL_16350961,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3121/2022|EPI_ISL_16350962|2022-11-30,2022-11-30,EPI_ISL_16350962,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Chongqing/WZCDC-003/2022|EPI_ISL_16355926|2022-12-26,2022-12-26,EPI_ISL_16355926,Chongqing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3111/2022|EPI_ISL_16357570|2022-11-24,2022-11-24,EPI_ISL_16357570,Beijing,22B (Omicron),BF.28,22B,Omicron
hCoV-19/Beijing/3110/2022|EPI_ISL_16357571|2022-11-24,2022-11-24,EPI_ISL_16357571,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2926/2022|EPI_ISL_16357572|2022-11-25,2022-11-25,EPI_ISL_16357572,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2956/2022|EPI_ISL_16357573|2022-11-25,2022-11-25,EPI_ISL_16357573,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2957/2022|EPI_ISL_16357574|2022-11-25,2022-11-25,EPI_ISL_16357574,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2959/2022|EPI_ISL_16357575|2022-11-25,2022-11-25,EPI_ISL_16357575,Beijing,22B (Omicron),BA.5.1,22B,Omicron
hCoV-19/Beijing/2958/2022|EPI_ISL_16357576|2022-11-25,2022-11-25,EPI_ISL_16357576,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2960/2022|EPI_ISL_16357577|2022-11-25,2022-11-25,EPI_ISL_16357577,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2961/2022|EPI_ISL_16357578|2022-11-25,2022-11-25,EPI_ISL_16357578,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2962/2022|EPI_ISL_16357579|2022-11-25,2022-11-25,EPI_ISL_16357579,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2963/2022|EPI_ISL_16357580|2022-11-25,2022-11-25,EPI_ISL_16357580,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/2964/2022|EPI_ISL_16357581|2022-11-25,2022-11-25,EPI_ISL_16357581,Beijing,22B (Omicron),BF.7.14,22B,Omicron
